EventID,UtcTime,Image,ParentImage,DestinationPort,TargetFilename
1,10-01-2025 10:15,C:\Windows\System32\cmd.exe,C:\Windows\explorer.exe,,
1,10-01-2025 10:16,C:\Users\User\AppData\Local\Temp\svchost.exe,C:\Windows\System32\cmd.exe,,
3,10-01-2025 10:17,C:\Users\User\AppData\Local\Temp\svchost.exe,,443,
11,10-01-2025 10:18,C:\Users\User\AppData\Local\Temp\svchost.exe,,,C:\Users\User\Documents\invoice.exe
1,10-01-2025 09:10,C:\Windows\System32\notepad.exe,C:\Windows\explorer.exe,,
3,10-01-2025 09:11,C:\Program Files\Google\Chrome\Application\chrome.exe,,443,
11,10-01-2025 09:12,C:\Windows\System32\notepad.exe,,,C:\Temp\notes.txt
1,10-01-2025 09:20,C:\Windows\System32\calc.exe,C:\Windows\explorer.exe,,
3,10-01-2025 09:21,C:\Program Files\Google\Chrome\Application\chrome.exe,,442,
1,10-01-2025 09:30,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,C:\Windows\explorer.exe,,
11,10-01-2025 09:31,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,,,C:\Users\User\Documents\report.docx
1,10-01-2025 09:40,C:\Windows\System32\mspaint.exe,C:\Windows\explorer.exe,,
11,10-01-2025 09:41,C:\Windows\System32\mspaint.exe,,,C:\Users\User\Pictures\image.png
1,10-01-2025 09:50,C:\Windows\System32\cmd.exe,C:\Windows\explorer.exe,,
3,10-01-2025 09:50,C:\Windows\System32\cmd.exe,,80,
1,10-01-2025 10:15,C:\Windows\System32\cmd.exe,C:\Windows\explorer.exe,,
1,10-01-2025 10:16,C:\Users\User\AppData\Local\Temp\svchost.exe,C:\Windows\System32\cmd.exe,,
3,10-01-2025 10:16,C:\Users\User\AppData\Local\Temp\svchost.exe,,4444,
3,10-01-2025 10:17,C:\Users\User\AppData\Local\Temp\svchost.exe,,443,
11,10-01-2025 10:18,C:\Users\User\AppData\Local\Temp\svchost.exe,,,C:\Users\User\Documents\invoice.exe
1,10-01-2025 09:10,C:\Windows\System32\notepad.exe,C:\Windows\explorer.exe,,
3,10-01-2025 09:11,C:\Program Files\Google\Chrome\Application\chrome.exe,,443,
11,10-01-2025 09:12,C:\Windows\System32\notepad.exe,,,C:\Temp\notes.txt
1,10-01-2025 09:20,C:\Windows\System32\calc.exe,C:\Windows\explorer.exe,,
3,10-01-2025 09:21,C:\Program Files\Google\Chrome\Application\chrome.exe,,442,
1,10-01-2025 09:30,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,C:\Windows\explorer.exe,,
11,10-01-2025 09:31,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,,,C:\Users\User\Documents\report.docx
1,10-01-2025 09:40,C:\Windows\System32\mspaint.exe,C:\Windows\explorer.exe,,
11,10-01-2025 09:41,C:\Windows\System32\mspaint.exe,,,C:\Users\User\Pictures\image.png
1,10-01-2025 09:50,C:\Windows\System32\cmd.exe,C:\Windows\explorer.exe,,
3,10-01-2025 09:50,C:\Windows\System32\cmd.exe,,80,
1,10-01-2025 10:15,C:\Windows\System32\cmd.exe,C:\Windows\explorer.exe,,
1,10-01-2025 10:16,C:\Users\User\AppData\Local\Temp\svchost.exe,C:\Windows\System32\cmd.exe,,
3,10-01-2025 10:16,C:\Users\User\AppData\Local\Temp\svchost.exe,,4444,
3,10-01-2025 10:17,C:\Users\User\AppData\Local\Temp\svchost.exe,,443,
11,10-01-2025 10:18,C:\Users\User\AppData\Local\Temp\svchost.exe,,,C:\Users\User\Documents\invoice.exe
1,10-01-2025 09:10,C:\Windows\System32\notepad.exe,C:\Windows\explorer.exe,,
3,10-01-2025 09:11,C:\Program Files\Google\Chrome\Application\chrome.exe,,443,
11,10-01-2025 09:12,C:\Windows\System32\notepad.exe,,,C:\Temp\notes.txt
1,10-01-2025 09:20,C:\Windows\System32\calc.exe,C:\Windows\explorer.exe,,
3,10-01-2025 09:21,C:\Program Files\Google\Chrome\Application\chrome.exe,,442,
1,10-01-2025 09:30,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,C:\Windows\explorer.exe,,
11,10-01-2025 09:31,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,,,C:\Users\User\Documents\report.docx
1,10-01-2025 09:40,C:\Windows\System32\mspaint.exe,C:\Windows\explorer.exe,,
11,10-01-2025 09:41,C:\Windows\System32\mspaint.exe,,,C:\Users\User\Pictures\image.png
1,10-01-2025 09:50,C:\Windows\System32\cmd.exe,C:\Windows\explorer.exe,,
3,10-01-2025 09:50,C:\Windows\System32\cmd.exe,,80,
1,10-01-2025 10:15,C:\Windows\System32\cmd.exe,C:\Windows\explorer.exe,,
1,10-01-2025 10:16,C:\Users\User\AppData\Local\Temp\svchost.exe,C:\Windows\System32\cmd.exe,,
3,10-01-2025 10:16,C:\Users\User\AppData\Local\Temp\svchost.exe,,4444,
3,10-01-2025 10:17,C:\Users\User\AppData\Local\Temp\svchost.exe,,443,
11,10-01-2025 10:18,C:\Users\User\AppData\Local\Temp\svchost.exe,,,C:\Users\User\Documents\invoice.exe
1,10-01-2025 09:10,C:\Windows\System32\notepad.exe,C:\Windows\explorer.exe,,
3,10-01-2025 09:11,C:\Program Files\Google\Chrome\Application\chrome.exe,,443,
11,10-01-2025 09:12,C:\Windows\System32\notepad.exe,,,C:\Temp\notes.txt
1,10-01-2025 09:20,C:\Windows\System32\calc.exe,C:\Windows\explorer.exe,,
3,10-01-2025 09:21,C:\Program Files\Google\Chrome\Application\chrome.exe,,442,
1,10-01-2025 09:30,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,C:\Windows\explorer.exe,,
11,10-01-2025 09:31,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,,,C:\Users\User\Documents\report.docx
1,10-01-2025 09:40,C:\Windows\System32\mspaint.exe,C:\Windows\explorer.exe,,
11,10-01-2025 09:41,C:\Windows\System32\mspaint.exe,,,C:\Users\User\Pictures\image.png
1,10-01-2025 09:50,C:\Windows\System32\cmd.exe,C:\Windows\explorer.exe,,
3,10-01-2025 09:50,C:\Windows\System32\cmd.exe,,80,
1,10-01-2025 10:15,C:\Windows\System32\cmd.exe,C:\Windows\explorer.exe,,
1,10-01-2025 10:16,C:\Users\User\AppData\Local\Temp\svchost.exe,C:\Windows\System32\cmd.exe,,
3,10-01-2025 10:16,C:\Users\User\AppData\Local\Temp\svchost.exe,,4444,
3,10-01-2025 10:17,C:\Users\User\AppData\Local\Temp\svchost.exe,,443,
